Timestamp,Date of Frame,Score - Pete,Score - Torqs,Score - Alex,Winner,Column 7,,,,,,
07/06/2025 18:37:35,06/06/2025,,,,Torqs,,Date of Frame,Pete,Torqs,Alex,Winning Total,Winner of night
07/06/2025 18:37:52,06/06/2025,,,,Alex,,06/06/2025,1,2,1,2,Torqs
07/06/2025 18:38:06,06/06/2025,,,,Pete,,10/06/2025,0,2,0,2,Torqs
07/06/2025 18:38:27,06/06/2025,,,,Torqs,,12/06/2025,1,2,0,2,Torqs
10/06/2025 22:26:27,10/06/2025,21,46,27,Torqs,T drew ahead after A initially winning. Then T continued to pot and won,21/06/2025,1,1,1,1,"Pete, Torqs, Alex"
10/06/2025 22:28:18,10/06/2025,,,,Torqs,P potted well but fouled so T won.A potted well and came 2nd (3rd game P DNF no score recorded),24/06/2025,0,2,0,2,Torqs
12/06/2025 21:00:31,12/06/2025,48,59,28,Torqs,Alex fouled heroically. P & T black ball game,27/06/2025,1,0,3,3,Alex
12/06/2025 21:59:29,12/06/2025,47,19,18,Pete,,01/07/2025,1,1,0,1,"Pete, Torqs"
12/06/2025 23:21:57,12/06/2025,40,69,41,Torqs,,08/07/2025,2,0,0,2,Pete
21/06/2025 21:03:01,21/06/2025,61,48,25,Pete,Pete potted like a legend and didn't foul once. Torqs fouled with first 2 goes. Alex was shit. Torqs caught up to within 2 but Pete got the colours.alex was shit and got shot a lot,11/07/2025,,,,,
21/06/2025 22:20:55,21/06/2025,47,50,51,Alex,Torqs abuead by 20 plus but Pete kept snookering him by mistake and they both caught up. Black ball game. Alex got it the fucker ,14/07/2025,,,,,
21/06/2025 23:40:39,21/06/2025,39,63,58,Torqs,Torqs potted and fouled a lot. Black ball game with T and A. Pete and good bit behind. T got black ,16/07/2025,,,,,
24/06/2025 22:34:22,24/06/2025,14,75,47,Torqs,Pete potted 1 red in total. Torqs got a break of 20 and was aheadbfrok the start. Alex potted loads of red pinks,18/07/2025,,,,,
24/06/2025 23:48:18,24/06/2025,48,55,28,Torqs,Black ball re spot after Pete got last black to draw. Tirqs got colours to overtake from behind.,25/07/2025,,,,,
27/06/2025 20:51:33,27/06/2025,38,DNP,45,Alex,Black ball game. Alex took lead pete fouled a bit and fluked a bit.,29/07/2025,,,,,
27/06/2025 21:55:50,27/06/2025,20,DNP,35,Alex,An odd game. ,01/08/2025,,,,,
27/06/2025 22:50:29,27/06/2025,36,DNP,4,Pete,"Pete poted ok, Alex is pissed",02/08/2025,,,,,
27/06/2025 23:43:44,27/06/2025,22,DNP,42,Alex,"Alex led from start, Pete got close at the end",06/08/2025,,,,,
01/07/2025 22:10:01,01/07/2025,25,43,21,Torqs,Average game. All in it up to the blue thren T got blue and pink to put it to bed. Flattering score though,08/08/2025,,,,,
01/07/2025 22:55:08,01/07/2025,49,36,38,Pete,Alex win first hald. Pete won 2nd half to win. Tirqs didn't do much,09/08/2025,,,,,
08/07/2025 22:41:31,08/07/2025,49,DNP,24,Pete,Pete potted fuck all. Alex fouled like a legend! Pete won :(,12/08/2025,,,,,
08/07/2025 23:19:39,08/07/2025,38,DNP,18,Pete,"An odd game, Alex stormed off but stalled!! :) ",15/08/2025,,,,,
11/07/2025 21:01:23,11/07/2025,26,DNP,37,Alex,"Alex took the lead, despite fouling still won",19/08/2025,,,,,
11/07/2025 22:03:22,11/07/2025,19,DNP,54,Alex,"Alex lead from the start, potted well. Pete fouled a couple of times.",20/08/2025,,,,,
11/07/2025 22:57:22,11/07/2025,22,DNP,76,Alex,"Alex led from the start, potted well. Pete fouled a bit and didn't pot well",21/08/2025,,,,,
11/07/2025 23:43:21,11/07/2025,47,DNP,36,Pete,"Pete led all the way, Alex made a late comeback but missed the black.",02/09/2025,,,,,
14/07/2025 21:02:24,14/07/2025,52,12,3,Pete,Pete got a break of 14 at the beginning then 20 at the end and basically kicked arse ,05/09/2025,,,,,
14/07/2025 21:53:12,14/07/2025,40,44,39,Torqs,Torqs and Pete swapped lead. Alex did fuck all yet somehow was a black ball game between T and A. Pete potted black so T won,,,,,,
14/07/2025 22:53:58,14/07/2025,16,35,33,Torqs,Shit game. Black ball between T and A. T got black. Shit game ,,,,,,
16/07/2025 22:41:51,16/07/2025,DNP,53,48,Torqs,"Alex took lead, fouled a bit. Torqs came back, black ball game.",,,,,,
18/07/2025 21:03:43,18/07/2025,61,65,52,Torqs,Lots of fouling. Black ball game between O and T. A set T up twice and T got it ,,,,,,
18/07/2025 22:03:40,18/07/2025,28,57,48,Torqs,Alex winning most of the way. Came down T potting pink and black to win,,,,,,
18/07/2025 23:08:07,18/07/2025,35,48,45,Torqs,Black ball between T and A. A set T up to win. ,,,,,,
25/07/2025 20:38:11,25/07/2025,46,35,,Pete,Pete got 21 ahead early. T pulled it back and got the lead. P then got most of the colours. Pink ball game. P got pink and therefore won,,,,,,
25/07/2025 21:16:07,25/07/2025,39,52,,Torqs,Black ball game. Pete fouled on black. Pnaheadbkost of the game. T caught up to win,,,,,,
25/07/2025 21:58:28,25/07/2025,15,40,,Torqs,Fairly equal at first then T potted a few more. Blue still on table but P needed snookers,,,,,,
25/07/2025 22:39:18,25/07/2025,26,62,,Torqs,T kicked arse. Still all the colours on the table and Pete needed at least 2 or 3 snookers! ,,,,,,
25/07/2025 23:24:21,25/07/2025,46,56,,Torqs,T pulled away at the end with a couple of flukes to help. Was kicking arse anyway,,,,,,
25/07/2025 23:57:05,25/07/2025,13,48,,Torqs,Torqs kicked arse,,,,,,
29/07/2025 22:29:47,29/07/2025,53,59,16,Torqs,Pete pulled a lead but T pulled back and it was black ball game. T got it ,,,,,,
29/07/2025 23:41:25,29/07/2025,63,44,35,Pete,Pete potted well. Alex fouled. T not far  behind. Pete went past his curfew ,,,,,,
01/08/2025 20:46:08,01/08/2025,30,39,44,Alex,Alex took early lead but P&T (mainly T) black ball game,,,,,,
01/08/2025 22:19:11,01/08/2025,36,50,44,Torqs,Black ball game at the end but T ahead most of it but fouled a lot too.,,,,,,
01/08/2025 23:58:39,01/08/2025,44,34,37,Pete,Black ball game. Loads of fouling. Alex won,,,,,,
02/08/2025 01:25:07,02/08/2025,61,81,30,Torqs,Controversy!,,,,,,
06/08/2025 20:58:20,06/08/2025,54,65,24,Torqs,Alex started well but then fouled loads. T in the lead most of the game and pulled away when P started fouling too. ,,,,,,
06/08/2025 21:51:33,06/08/2025,34,36,48,Alex,Alex leading all the game and pulled way ahead. P and T came back a bit to mathematically mean a black ball game. P potted black and went in off. So Alex won ,,,,,,
06/08/2025 22:44:34,06/08/2025,18,36,49,Alex,Pete did fuck all and fouled. T and A quite close. A pulled away pitting the colours and won on a pink ball game,,,,,,
08/08/2025 20:51:07,08/08/2025,34,67,54,Torqs,Alex snatched defeat from the jaws of victory. He was ahead by 23 then fouled a lot.,,,,,,
08/08/2025 21:55:39,08/08/2025,40,48,39,Torqs,Black ball game. Not sure how. P set T up on the black for T to win.,,,,,,
08/08/2025 22:31:55,08/08/2025,15,21,41,Alex,Alex lead from the start and kept increasing it. Cunt,,,,,,
08/08/2025 23:31:16,08/08/2025,24,44,25,Torqs,T in the lead most of the way. ,,,,,,
09/08/2025 00:17:49,09/08/2025,61,37,24,Pete,Even between P and T until the end when P got brown blue pink and black. Break of 22!,,,,,,
12/08/2025 22:14:01,12/08/2025,51,44,NOT TO BE LOGGED,Pete,T winning most if the game then fouled a lot and black ball game P got black. Cunt,,,,,,
12/08/2025 23:06:44,12/08/2025,28,57,Not to be logged,Torqs,T winning most of the way,,,,,,
15/08/2025 16:23:50,15/08/2025,70,62,Did not play,Pete,Finished game on Friday. T winning but P the fucker came back. T fouled loads. Black ball game. Cunt ,,,,,,
19/08/2025 21:47:03,19/08/2025,19,49,Did not play ,Torqs,Bit if a thrashing. P gave up with 4 colours still on table ,,,,,,
19/08/2025 22:24:25,19/08/2025,16,66,Did not play,Torqs,Absolute thrashing. T on fire,,,,,,
19/08/2025 23:18:37,19/08/2025,48,36,Dis not play,Pete,Torqs cruising then fouled loads and Pete potted a few. Pink ball game and Pete got it. Lucky cunt,,,,,,
20/08/2025 00:03:18,20/08/2025,25,84,Did not play ,Torqs,Kicked arse ,,,,,,
21/08/2025 21:17:18,21/08/2025,17,55,DNP,Torqs,T potted loads and Pete didn't. Gave up with all colours still on table.,,,,,,
21/08/2025 21:50:54,21/08/2025,41,33,DNP,Pete,Black ball game. Good game. Other than Pete won. Cunt,,,,,,
21/08/2025 22:59:32,21/08/2025,20,51,DNP,Torqs,T kicked arse,,,,,,
21/08/2025 23:35:07,21/08/2025,19,50,DNP,Torqs,T kicked arse,,,,,,
02/09/2025 21:17:56,02/09/2025,29,53,44,Torqs,Fairly normal game until it became a triple black ball respite. Pete potted black but followed through.  Then was also Russian snookered gave another 7 away. T potted black to win,,,,,,
02/09/2025 22:10:01,02/09/2025,51,53,55,Alex,Alex won and only potted a red a green and a blue! P and T fouled a lot,,,,,,
02/09/2025 22:55:14,02/09/2025,49,64,32,Torqs,Uneventful. T potted more,,,,,,
05/09/2025 21:20:42,05/09/2025,38,27,12,Pete,Boring game. Benign. T winning for most of it. Pete got pink and black to overtake and win. Cunt,,,,,,
05/09/2025 22:23:22,05/09/2025,44,56,24,Torqs,T winning most of the way.p overtook by potting brown and blue. T potted pink and black to win by 12. Alex thought he was going ok but then saw the scires,,,,,,
05/09/2025 23:52:50,05/09/2025,66,57,33,Pete,Pete won. Cunt,,,,,,
,,,,,,,,0,0,0,0,"Pete, Torqs, Alex"
,,,,,,,,0,0,0,0,"Pete, Torqs, Alex"
,,,,,,,,0,0,0,0,"Pete, Torqs, Alex"
,,,,,,,,0,0,0,0,"Pete, Torqs, Alex"
,,,,,,,,0,0,0,0,"Pete, Torqs, Alex"
,,,,,,,,0,0,0,0,"Pete, Torqs, Alex"
,,,,,,,,0,0,0,0,"Pete, Torqs, Alex"
,,,,,,,,0,0,0,0,"Pete, Torqs, Alex"
,,,,,,,,0,0,0,0,"Pete, Torqs, Alex"
,,,,,,,,0,0,0,0,"Pete, Torqs, Alex"
,,,,,,,,0,0,0,0,"Pete, Torqs, Alex"
,,,,,,,,0,0,0,0,"Pete, Torqs, Alex"
,,,,,,,,0,0,0,0,"Pete, Torqs, Alex"
,,,,,,,,0,0,0,0,"Pete, Torqs, Alex"
,,,,,,,,0,0,0,0,"Pete, Torqs, Alex"
,,,,,,,,0,0,0,0,"Pete, Torqs, Alex"
,,,,,,,,0,0,0,0,"Pete, Torqs, Alex"
,,,,,,,,0,0,0,0,"Pete, Torqs, Alex"
,,,,,,,,0,0,0,0,"Pete, Torqs, Alex"
,,,,,,,,0,0,0,0,"Pete, Torqs, Alex"
,,,,,,,,0,0,0,0,"Pete, Torqs, Alex"
,,,,,,,,0,0,0,0,"Pete, Torqs, Alex"
,,,,,,,,0,0,0,0,"Pete, Torqs, Alex"
,,,,,,,,0,0,0,0,"Pete, Torqs, Alex"
,,,,,,,,0,0,0,0,"Pete, Torqs, Alex"
,,,,,,,,0,0,0,0,"Pete, Torqs, Alex"
,,,,,,,,0,0,0,0,"Pete, Torqs, Alex"
,,,,,,,,0,0,0,0,"Pete, Torqs, Alex"
